**************************************************************************************************************************
 POS Exterior Orientation Computation Utility         Version  8.2
 Copyright (C) 1997-2018 by Applanix Corporation      [Feb 28 2018] 
 All rights reserved.                                        
**************************************************************************************************************************
 
 Parameter setup:
 POSPROC SBET file: S:\Misc\ABGPS2\KAS18PA200_1TA5_04222018\KAS18PA200_1TA5_04222018_Client\KAS18PA200_1TA5_04222018\Mission 1\Proc\sbet_Mission 1.out 
 Camera mid-exposure event file: S:\Misc\ABGPS2\KAS18PA200_1TA5_04222018\KAS18PA200_1TA5_04222018_Client\KAS18PA200_1TA5_04222018\Mission 1\Extract\event1_Mission 1.dat 
   Event time shift: 0.000000 sec 
 Photo ID file: B:\POSPac MMS\KAS18PA200_1TA5_04222018\KAS18PA200_1TA5_04222018_Client\KAS18PA200_1TA5_04222018\Mission 1\Extract\Event1_Mission 1.dat 
   Photo ID file format: 2 Fields (Time, Photo ID) Format 
   Offset between PHOTO ID and EVENT file times: 0.000000 sec 
   PHOTO ID time tolerance: 0.300000 sec 
   Scale the Height Output selected. Average ground height 5.000000 
 Mapping frame epoch: 2018.304110
 Mapping frame datum: NAD83 (2011)  ; a = 6378137.000000; 1/f = 298.257222;
 Coordinate transformation from ITRF00 to mapping frame datum 
    dX = 1.010513; dY = -1.916213; dZ = -0.510848; f = 0.999999996785; 
    R1 = 0.000000132560; R2 = -0.000000032488; R3 = 0.000000050966;
 sequence of the rotations: x,y,z,1 
 Mapping frame projection : Lambert2;
 Central meridian = -71.500000 deg; Latitude of the grid origin = 41.000000 deg;
 Southern standard parallel = 41.716667 deg; Northern standard parallel = 42.683333 deg;
 False easting = 200000.000000 m; False northing = 750000.000000 m; 
 Sequence of the rotation from mapping to image frame: 
    First rotation is about the 'x' axis by the 'omega' angle. 
    Second rotation is about the 'y' axis by the 'phi' angle. 
    Third rotation is about the 'z' axis by the 'kappa' angle. 
 Kappa cardinal rotation:   90.000 deg. 
 Boresight values: tx =       -4.1410 arc min, ty =        1.2130 arc min, tz =       -8.7940 arc min. 
 Lever arm values: lx =        0.0000 m, ly =        0.0000 m, lz =        0.0000 m. 
Shift values: X = 0.000000 meter, Y = 0.000000 meter, Z = 0.000000 meter 


 POS/AV Computed Data at Camera Perspective Centre
Grid: USA State Plane 1983  ;Zone: Massachusetts Mainland Zone (2001)  ;Datum: NAD83 (2011)  ;Local Transformation: NONE  ;

 Record Format:

 ID, # EVENT, TIME (s), EASTING, NORTHING, ORTHOMETRIC HEIGHT, OMEGA, PHI, KAPPA, LAT, LONG

 (position in US Survey Feet, orientation in Degrees, lat, long in Deg) 


1_50001     50001   54684.094856  753451.122 2973355.565 4011.632    0.00528   -0.14156   57.65095 42.40647575 -71.13978613
1_50002     50002   54685.660628  753892.426 2973077.538 4014.995    0.33487   -0.19939   57.78538 42.40570771 -71.13815651
1_50003     50003   54687.216549  754329.740 2972800.817 4017.437    0.23560   -0.14821   57.49742 42.40494329 -71.13654168
1_50004     50004   54688.781570  754767.986 2972520.630 4014.889    0.11432   -0.00559   57.20416 42.40416932 -71.13492349
1_50005     50005   54690.353047  755207.802 2972238.569 4011.698    0.09945   -0.03454   57.15674 42.40339017 -71.13329956
1_50006     50006   54691.909038  755643.122 2971958.457 4007.981    0.10530   -0.03400   57.09995 42.40261639 -71.13169228
1_50007     50007   54693.480197  756082.835 2971675.048 4000.142    0.66996   -0.49885   57.07798 42.40183350 -71.13006883
